Product,Price,Date,Category
Onion,59.94,2024-01-08,Vegetable
Carrot,28.54,2024-01-08,Vegetable
Cabbage,56.12,2024-01-08,Vegetable
Apple,74.7,2024-01-08,Fruit
Banana,79.5,2024-01-08,Fruit
Orange,98.08,2024-01-08,Fruit
Mango,106.2,2024-01-08,Fruit
Grapes,118.1,2024-01-08,Fruit
Tomato,42.36,2024-01-09,Vegetable
Potato,30.24,2024-01-09,Vegetable
Onion,23.51,2024-01-09,Vegetable
Carrot,20.47,2024-01-09,Vegetable
Cabbage,32.88,2024-01-09,Vegetable
Apple,85.91,2024-01-09,Fruit
Banana,45.68,2024-01-09,Fruit
Orange,43.2,2024-01-09,Fruit
Mango,92.14,2024-01-09,Fruit
Grapes,77.11,2024-01-09,Fruit
Tomato,56.29,2024-01-10,Vegetable
Potato,44.81,2024-01-10,Vegetable
Onion,21.11,2024-01-10,Vegetable
Carrot,34.3,2024-01-10,Vegetable
Cabbage,51.38,2024-01-10,Vegetable
Apple,71.19,2024-01-10,Fruit
Banana,113.94,2024-01-10,Fruit
Orange,42.14,2024-01-10,Fruit
Mango,81.99,2024-01-10,Fruit
Grapes,94.38,2024-01-10,Fruit
Tomato,31.16,2024-01-11,Vegetable
Potato,36.22,2024-01-11,Vegetable
Onion,39.48,2024-01-11,Vegetable
Carrot,48.04,2024-01-11,Vegetable
Cabbage,48.45,2024-01-11,Vegetable
Apple,49.55,2024-01-11,Fruit
Banana,83.19,2024-01-11,Fruit
Orange,92.72,2024-01-11,Fruit
Mango,93.14,2024-01-11,Fruit
Grapes,110.64,2024-01-11,Fruit
Tomato,31.09,2024-01-12,Vegetable
Potato,55.32,2024-01-12,Vegetable
Onion,25.04,2024-01-12,Vegetable
Carrot,53.73,2024-01-12,Vegetable
Cabbage,37.41,2024-01-12,Vegetable
Apple,81.76,2024-01-12,Fruit
Banana,49.09,2024-01-12,Fruit
Orange,59.88,2024-01-12,Fruit
Mango,83.4,2024-01-12,Fruit
Grapes,61.04,2024-01-12,Fruit
Tomato,45.59,2024-01-13,Vegetable
Potato,30.26,2024-01-13,Vegetable
Onion,49.45,2024-01-13,Vegetable
Carrot,56.57,2024-01-13,Vegetable
Cabbage,58.82,2024-01-13,Vegetable
Apple,102.53,2024-01-13,Fruit
Banana,119.52,2024-01-13,Fruit
Orange,41.26,2024-01-13,Fruit
Mango,74.28,2024-01-13,Fruit
Grapes,82.95,2024-01-13,Fruit
Tomato,42.16,2024-01-14,Vegetable
Potato,21.25,2024-01-14,Vegetable
Onion,20.62,2024-01-14,Vegetable
Carrot,41.08,2024-01-14,Vegetable
Cabbage,35.43,2024-01-14,Vegetable
Apple,77.66,2024-01-14,Fruit
Banana,92.8,2024-01-14,Fruit
Orange,73.3,2024-01-14,Fruit
Mango,80.83,2024-01-14,Fruit
Grapes,54.15,2024-01-14,Fruit
Tomato,54.29,2024-01-15,Vegetable
Potato,22.74,2024-01-15,Vegetable
Onion,38.34,2024-01-15,Vegetable
Carrot,34.33,2024-01-15,Vegetable
Cabbage,48.86,2024-01-15,Vegetable
Apple,99.97,2024-01-15,Fruit
Banana,92.46,2024-01-15,Fruit
Orange,40.69,2024-01-15,Fruit
Mango,51.04,2024-01-15,Fruit
Grapes,84.22,2024-01-15,Fruit
Tomato,57.22,2024-01-16,Vegetable
Potato,43.19,2024-01-16,Vegetable
Onion,32.85,2024-01-16,Vegetable
Carrot,30.59,2024-01-16,Vegetable
Cabbage,21.46,2024-01-16,Vegetable
Apple,116.53,2024-01-16,Fruit
Banana,67.51,2024-01-16,Fruit
Orange,115.03,2024-01-16,Fruit
Mango,108.73,2024-01-16,Fruit
Grapes,91.2,2024-01-16,Fruit
Tomato,28.17,2024-01-17,Vegetable
Potato,42.54,2024-01-17,Vegetable
Onion,50.81,2024-01-17,Vegetable
Carrot,39.32,2024-01-17,Vegetable
Cabbage,49.04,2024-01-17,Vegetable
Apple,73.13,2024-01-17,Fruit
Banana,66.01,2024-01-17,Fruit
Orange,117.46,2024-01-17,Fruit
Mango,46.58,2024-01-17,Fruit
Grapes,54.65,2024-01-17,Fruit
Tomato,36.05,2024-01-18,Vegetable
Potato,30.72,2024-01-18,Vegetable
Onion,44.46,2024-01-18,Vegetable
Carrot,26.1,2024-01-18,Vegetable
Cabbage,59.37,2024-01-18,Vegetable
Apple,79.04,2024-01-18,Fruit
Banana,108.94,2024-01-18,Fruit
Orange,96.34,2024-01-18,Fruit
Mango,54.05,2024-01-18,Fruit
Grapes,114.49,2024-01-18,Fruit
Tomato,44.52,2024-01-19,Vegetable
Potato,23.62,2024-01-19,Vegetable
Onion,46.33,2024-01-19,Vegetable
Carrot,56.63,2024-01-19,Vegetable
Cabbage,44.75,2024-01-19,Vegetable
Apple,62.38,2024-01-19,Fruit
Banana,53.68,2024-01-19,Fruit
Orange,66.95,2024-01-19,Fruit
Mango,59.63,2024-01-19,Fruit
Grapes,87.66,2024-01-19,Fruit
Tomato,49.36,2024-01-20,Vegetable
Potato,22.2,2024-01-20,Vegetable
Onion,33.66,2024-01-20,Vegetable
Carrot,29.77,2024-01-20,Vegetable
Cabbage,57.58,2024-01-20,Vegetable
Apple,91.74,2024-01-20,Fruit
Banana,107.83,2024-01-20,Fruit
Orange,84.39,2024-01-20,Fruit
Mango,53.34,2024-01-20,Fruit
Grapes,115.61,2024-01-20,Fruit
Tomato,22.57,2024-01-21,Vegetable
Potato,51.3,2024-01-21,Vegetable
Onion,52,2024-01-21,Vegetable
Carrot,29.32,2024-01-21,Vegetable
Cabbage,22.35,2024-01-21,Vegetable
Apple,45.8,2024-01-21,Fruit
Banana,82.28,2024-01-21,Fruit
Orange,40.29,2024-01-21,Fruit
Mango,47.73,2024-01-21,Fruit
Grapes,57.77,2024-01-21,Fruit
Tomato,25.52,2024-01-22,Vegetable
Potato,51.43,2024-01-22,Vegetable
Onion,48.69,2024-01-22,Vegetable
Carrot,53.78,2024-01-22,Vegetable
Cabbage,23.01,2024-01-22,Vegetable
Apple,41.09,2024-01-22,Fruit
Banana,64.08,2024-01-22,Fruit
Orange,67.97,2024-01-22,Fruit
Mango,59.69,2024-01-22,Fruit
Grapes,104.57,2024-01-22,Fruit
Tomato,40.45,2024-01-23,Vegetable
Potato,33.62,2024-01-23,Vegetable
Onion,51.09,2024-01-23,Vegetable
Carrot,45.76,2024-01-23,Vegetable
Cabbage,59.5,2024-01-23,Vegetable
Apple,108.73,2024-01-23,Fruit
Banana,104.56,2024-01-23,Fruit
Orange,116.15,2024-01-23,Fruit
Mango,115.29,2024-01-23,Fruit
Grapes,101.99,2024-01-23,Fruit
Tomato,27.54,2024-01-24,Vegetable
Potato,29.22,2024-01-24,Vegetable
Onion,22.37,2024-01-24,Vegetable
Carrot,42.34,2024-01-24,Vegetable
Cabbage,37.95,2024-01-24,Vegetable
Apple,67.77,2024-01-24,Fruit
Banana,62.81,2024-01-24,Fruit
Orange,53.55,2024-01-24,Fruit
Mango,70.03,2024-01-24,Fruit
Grapes,58.91,2024-01-24,Fruit
Tomato,20.47,2024-01-25,Vegetable
Potato,57.15,2024-01-25,Vegetable
Onion,22.62,2024-01-25,Vegetable
Carrot,42.51,2024-01-25,Vegetable
Cabbage,43.2,2024-01-25,Vegetable
Apple,53.74,2024-01-25,Fruit
Banana,64.59,2024-01-25,Fruit
Orange,112,2024-01-25,Fruit
Mango,106.51,2024-01-25,Fruit
Grapes,54.7,2024-01-25,Fruit
Tomato,54.31,2024-01-26,Vegetable
Potato,56.33,2024-01-26,Vegetable
Onion,46.97,2024-01-26,Vegetable
Carrot,56.59,2024-01-26,Vegetable
Cabbage,44.35,2024-01-26,Vegetable
Apple,54.69,2024-01-26,Fruit
Banana,64.91,2024-01-26,Fruit
Orange,103.76,2024-01-26,Fruit
Mango,49.28,2024-01-26,Fruit
Grapes,70.01,2024-01-26,Fruit
Tomato,32.94,2024-01-27,Vegetable
Potato,33.74,2024-01-27,Vegetable
Onion,30.66,2024-01-27,Vegetable
Carrot,20.86,2024-01-27,Vegetable
Cabbage,52.17,2024-01-27,Vegetable
Apple,61.42,2024-01-27,Fruit
Banana,85.78,2024-01-27,Fruit
Orange,93.36,2024-01-27,Fruit
Mango,101.76,2024-01-27,Fruit
Grapes,83.83,2024-01-27,Fruit
Tomato,44.63,2024-01-28,Vegetable
Potato,50.51,2024-01-28,Vegetable
Onion,23.17,2024-01-28,Vegetable
Carrot,40.26,2024-01-28,Vegetable
Cabbage,59.23,2024-01-28,Vegetable
Apple,55.92,2024-01-28,Fruit
Banana,41.62,2024-01-28,Fruit
Orange,82.61,2024-01-28,Fruit
Mango,78.2,2024-01-28,Fruit
Grapes,102.91,2024-01-28,Fruit
Tomato,44.83,2024-01-29,Vegetable
Potato,36.37,2024-01-29,Vegetable
Onion,45.05,2024-01-29,Vegetable
Carrot,44.77,2024-01-29,Vegetable
Cabbage,37.03,2024-01-29,Vegetable
Apple,113.85,2024-01-29,Fruit
Banana,40.18,2024-01-29,Fruit
Orange,68.5,2024-01-29,Fruit
Mango,119.46,2024-01-29,Fruit
Grapes,48.8,2024-01-29,Fruit
Tomato,26.59,2024-01-30,Vegetable
Potato,34.18,2024-01-30,Vegetable
Onion,38.57,2024-01-30,Vegetable
Carrot,39.91,2024-01-30,Vegetable
Cabbage,26.6,2024-01-30,Vegetable
Apple,61.13,2024-01-30,Fruit
Banana,87.32,2024-01-30,Fruit
Orange,72.08,2024-01-30,Fruit
Mango,87.25,2024-01-30,Fruit
Grapes,111.97,2024-01-30,Fruit
Tomato,47.11,2024-01-31,Vegetable
Potato,53.99,2024-01-31,Vegetable
Onion,57.73,2024-01-31,Vegetable
Carrot,51.05,2024-01-31,Vegetable
Cabbage,46.54,2024-01-31,Vegetable
Apple,92.12,2024-01-31,Fruit
Banana,106.97,2024-01-31,Fruit
Orange,85.35,2024-01-31,Fruit
Mango,75.21,2024-01-31,Fruit
Grapes,115.18,2024-01-31,Fruit
Tomato,45.13,2024-02-01,Vegetable
Potato,21.74,2024-02-01,Vegetable
Onion,43.87,2024-02-01,Vegetable
Carrot,43.35,2024-02-01,Vegetable
Cabbage,33.59,2024-02-01,Vegetable
Apple,52.69,2024-02-01,Fruit
Banana,66.12,2024-02-01,Fruit
Orange,101.25,2024-02-01,Fruit
Mango,118.15,2024-02-01,Fruit
Grapes,87.83,2024-02-01,Fruit
Tomato,42.15,2024-02-02,Vegetable
Potato,42.77,2024-02-02,Vegetable
Onion,59.06,2024-02-02,Vegetable
Carrot,27.35,2024-02-02,Vegetable
Cabbage,28.92,2024-02-02,Vegetable
Apple,113.93,2024-02-02,Fruit
Banana,76.23,2024-02-02,Fruit
Orange,113.26,2024-02-02,Fruit
Mango,67.01,2024-02-02,Fruit
Grapes,45.26,2024-02-02,Fruit
Tomato,20.18,2024-02-03,Vegetable
Potato,52.65,2024-02-03,Vegetable
Onion,58.46,2024-02-03,Vegetable
Carrot,47.99,2024-02-03,Vegetable
Cabbage,54.96,2024-02-03,Vegetable
Apple,46.89,2024-02-03,Fruit
Banana,117.21,2024-02-03,Fruit
Orange,65.74,2024-02-03,Fruit
Mango,84.65,2024-02-03,Fruit
Grapes,97.24,2024-02-03,Fruit
Tomato,55.81,2024-02-04,Vegetable
Potato,56.81,2024-02-04,Vegetable
Onion,24.98,2024-02-04,Vegetable
Carrot,46.25,2024-02-04,Vegetable
Cabbage,34.75,2024-02-04,Vegetable
Apple,105.74,2024-02-04,Fruit
Banana,50.62,2024-02-04,Fruit
Orange,92.53,2024-02-04,Fruit
Mango,59.08,2024-02-04,Fruit
Grapes,67.25,2024-02-04,Fruit
Tomato,27.69,2024-02-05,Vegetable
Potato,31.4,2024-02-05,Vegetable
Onion,41.5,2024-02-05,Vegetable
Carrot,38.04,2024-02-05,Vegetable
Cabbage,52.11,2024-02-05,Vegetable
Apple,109.94,2024-02-05,Fruit
Banana,83.48,2024-02-05,Fruit
Orange,86.44,2024-02-05,Fruit
Mango,97.01,2024-02-05,Fruit
Grapes,47.02,2024-02-05,Fruit
Tomato,42.15,2024-02-06,Vegetable
Potato,30.13,2024-02-06,Vegetable
Onion,35.79,2024-02-06,Vegetable
Carrot,54.26,2024-02-06,Vegetable
Cabbage,39.03,2024-02-06,Vegetable
Apple,61.31,2024-02-06,Fruit
Banana,89.82,2024-02-06,Fruit
Orange,63.6,2024-02-06,Fruit
Mango,114.59,2024-02-06,Fruit
Grapes,58.98,2024-02-06,Fruit
Tomato,36.91,2024-02-07,Vegetable
Potato,58.11,2024-02-07,Vegetable
Onion,41.61,2024-02-07,Vegetable
Carrot,47.45,2024-02-07,Vegetable
Cabbage,24.29,2024-02-07,Vegetable
Apple,45.17,2024-02-07,Fruit
Banana,71.03,2024-02-07,Fruit
Orange,59.49,2024-02-07,Fruit
Mango,82.81,2024-02-07,Fruit
Grapes,106.52,2024-02-07,Fruit
Tomato,50.63,2024-02-08,Vegetable
Potato,53.01,2024-02-08,Vegetable
Onion,29.02,2024-02-08,Vegetable
Carrot,37.03,2024-02-08,Vegetable
Cabbage,32.53,2024-02-08,Vegetable
Apple,71.23,2024-02-08,Fruit
Banana,69.87,2024-02-08,Fruit
Orange,40.52,2024-02-08,Fruit
Mango,87.05,2024-02-08,Fruit
Grapes,106.87,2024-02-08,Fruit
Tomato,57.62,2024-02-09,Vegetable
Potato,50.42,2024-02-09,Vegetable
Onion,22.83,2024-02-09,Vegetable
Carrot,33.19,2024-02-09,Vegetable
Cabbage,47.98,2024-02-09,Vegetable
Apple,50.08,2024-02-09,Fruit
Banana,55.14,2024-02-09,Fruit
Orange,55.5,2024-02-09,Fruit
Mango,72.22,2024-02-09,Fruit
Grapes,78.9,2024-02-09,Fruit
Tomato,37.86,2024-02-10,Vegetable
Potato,59.56,2024-02-10,Vegetable
Onion,34.17,2024-02-10,Vegetable
Carrot,33,2024-02-10,Vegetable
Cabbage,36.67,2024-02-10,Vegetable
Apple,98.25,2024-02-10,Fruit
Banana,108.22,2024-02-10,Fruit
Orange,71.65,2024-02-10,Fruit
Mango,69.07,2024-02-10,Fruit
Grapes,59.87,2024-02-10,Fruit
Tomato,39.73,2024-02-11,Vegetable
Potato,32.63,2024-02-11,Vegetable
Onion,34.79,2024-02-11,Vegetable
Carrot,43.59,2024-02-11,Vegetable
Cabbage,51.08,2024-02-11,Vegetable
Apple,94,2024-02-11,Fruit
Banana,98.16,2024-02-11,Fruit
Orange,105.28,2024-02-11,Fruit
Mango,40,2024-02-11,Fruit
Grapes,80.66,2024-02-11,Fruit
Tomato,24.45,2024-02-12,Vegetable
Potato,36.01,2024-02-12,Vegetable
Onion,35.05,2024-02-12,Vegetable
Carrot,35.87,2024-02-12,Vegetable
Cabbage,57.73,2024-02-12,Vegetable
Apple,101.76,2024-02-12,Fruit
Banana,57.34,2024-02-12,Fruit
Orange,107.09,2024-02-12,Fruit
Mango,73.84,2024-02-12,Fruit
Grapes,96.96,2024-02-12,Fruit
Tomato,20.71,2024-02-13,Vegetable
Potato,42,2024-02-13,Vegetable
Onion,56.23,2024-02-13,Vegetable
Carrot,27.54,2024-02-13,Vegetable
Cabbage,34.75,2024-02-13,Vegetable
Apple,95.12,2024-02-13,Fruit
Banana,48.26,2024-02-13,Fruit
Orange,47.44,2024-02-13,Fruit
Mango,74.06,2024-02-13,Fruit
Grapes,60.81,2024-02-13,Fruit
Tomato,20.43,2024-02-14,Vegetable
Potato,47.04,2024-02-14,Vegetable
Onion,36.48,2024-02-14,Vegetable
Carrot,46.86,2024-02-14,Vegetable
Cabbage,50.82,2024-02-14,Vegetable
Apple,101.78,2024-02-14,Fruit
Banana,73.17,2024-02-14,Fruit
Orange,58.26,2024-02-14,Fruit
Mango,62.23,2024-02-14,Fruit
Grapes,115.36,2024-02-14,Fruit
Tomato,57.66,2024-02-15,Vegetable
Potato,33.42,2024-02-15,Vegetable
Onion,24.06,2024-02-15,Vegetable
Carrot,41.99,2024-02-15,Vegetable
Cabbage,48.25,2024-02-15,Vegetable
Apple,68.88,2024-02-15,Fruit
Banana,78.02,2024-02-15,Fruit
Orange,42.64,2024-02-15,Fruit
Mango,87.82,2024-02-15,Fruit
Grapes,72.31,2024-02-15,Fruit
Tomato,57.58,2024-02-16,Vegetable
Potato,59.02,2024-02-16,Vegetable
Onion,32.23,2024-02-16,Vegetable
Carrot,47.81,2024-02-16,Vegetable
Cabbage,31.81,2024-02-16,Vegetable
Apple,116.57,2024-02-16,Fruit
Banana,107.02,2024-02-16,Fruit
Orange,91.47,2024-02-16,Fruit
Mango,70.66,2024-02-16,Fruit
Grapes,112.4,2024-02-16,Fruit
Tomato,49.22,2024-02-17,Vegetable
Potato,24.32,2024-02-17,Vegetable
Onion,24.36,2024-02-17,Vegetable
Carrot,30.11,2024-02-17,Vegetable
Cabbage,27.41,2024-02-17,Vegetable
Apple,112.94,2024-02-17,Fruit
Banana,59.57,2024-02-17,Fruit
Orange,80.84,2024-02-17,Fruit
Mango,77.95,2024-02-17,Fruit
Grapes,51.97,2024-02-17,Fruit
Tomato,50.82,2024-02-18,Vegetable
Potato,31.54,2024-02-18,Vegetable
Onion,29,2024-02-18,Vegetable
Carrot,44.1,2024-02-18,Vegetable
Cabbage,32.75,2024-02-18,Vegetable
Apple,104.89,2024-02-18,Fruit
Banana,95.63,2024-02-18,Fruit
Orange,61.12,2024-02-18,Fruit
Mango,77.09,2024-02-18,Fruit
Grapes,86.5,2024-02-18,Fruit
Tomato,54.12,2024-02-19,Vegetable
Potato,43.44,2024-02-19,Vegetable
Onion,25.96,2024-02-19,Vegetable
Carrot,48.09,2024-02-19,Vegetable
Cabbage,55.43,2024-02-19,Vegetable
Apple,108.43,2024-02-19,Fruit
Banana,57.24,2024-02-19,Fruit
Orange,78.74,2024-02-19,Fruit
Mango,102.37,2024-02-19,Fruit
Grapes,66.15,2024-02-19,Fruit
Tomato,35.91,2024-02-20,Vegetable
Potato,50.65,2024-02-20,Vegetable
Onion,20.69,2024-02-20,Vegetable
Carrot,20.35,2024-02-20,Vegetable
Cabbage,41.47,2024-02-20,Vegetable
Apple,78.19,2024-02-20,Fruit
Banana,44.25,2024-02-20,Fruit
Orange,117.32,2024-02-20,Fruit
Mango,55.86,2024-02-20,Fruit
Grapes,57.62,2024-02-20,Fruit
Tomato,29.49,2024-02-21,Vegetable
Potato,43.63,2024-02-21,Vegetable
Onion,44.89,2024-02-21,Vegetable
Carrot,48.78,2024-02-21,Vegetable
Cabbage,44.32,2024-02-21,Vegetable
Apple,58.96,2024-02-21,Fruit
Banana,80.9,2024-02-21,Fruit
Orange,103.57,2024-02-21,Fruit
Mango,52.95,2024-02-21,Fruit
Grapes,80.27,2024-02-21,Fruit
Tomato,41.82,2024-02-22,Vegetable
Potato,44.96,2024-02-22,Vegetable
Onion,50.67,2024-02-22,Vegetable
Carrot,37.29,2024-02-22,Vegetable
Cabbage,55.1,2024-02-22,Vegetable
Apple,115.15,2024-02-22,Fruit
Banana,115.4,2024-02-22,Fruit
Orange,100.04,2024-02-22,Fruit
Mango,63.62,2024-02-22,Fruit
Grapes,56.95,2024-02-22,Fruit
Tomato,54.1,2024-02-23,Vegetable
Potato,57.79,2024-02-23,Vegetable
Onion,59.3,2024-02-23,Vegetable
Carrot,48.93,2024-02-23,Vegetable
Cabbage,22.52,2024-02-23,Vegetable
Apple,66.7,2024-02-23,Fruit
Banana,100.37,2024-02-23,Fruit
Orange,81.5,2024-02-23,Fruit
Mango,106.04,2024-02-23,Fruit
Grapes,94.86,2024-02-23,Fruit
Tomato,55.02,2024-02-24,Vegetable
Potato,33.47,2024-02-24,Vegetable
Onion,58.23,2024-02-24,Vegetable
Carrot,37.4,2024-02-24,Vegetable
Cabbage,52.21,2024-02-24,Vegetable
Apple,76.22,2024-02-24,Fruit
Banana,76.99,2024-02-24,Fruit
Orange,47.19,2024-02-24,Fruit
Mango,72.71,2024-02-24,Fruit
Grapes,69.97,2024-02-24,Fruit
Tomato,21.14,2024-02-25,Vegetable
Potato,55.68,2024-02-25,Vegetable
Onion,49.25,2024-02-25,Vegetable
Carrot,23.44,2024-02-25,Vegetable
Cabbage,35.97,2024-02-25,Vegetable
Apple,84.47,2024-02-25,Fruit
Banana,47.04,2024-02-25,Fruit
Orange,100.27,2024-02-25,Fruit
Mango,54.77,2024-02-25,Fruit
Grapes,41.86,2024-02-25,Fruit
Tomato,59.98,2024-02-26,Vegetable
Potato,40.76,2024-02-26,Vegetable
Onion,30.02,2024-02-26,Vegetable
Carrot,38.37,2024-02-26,Vegetable
Cabbage,42.73,2024-02-26,Vegetable
Apple,70.66,2024-02-26,Fruit
Banana,41,2024-02-26,Fruit
Orange,114.03,2024-02-26,Fruit
Mango,108.47,2024-02-26,Fruit
Grapes,58.94,2024-02-26,Fruit
Tomato,29.33,2024-02-27,Vegetable
Potato,36.08,2024-02-27,Vegetable
Onion,45.02,2024-02-27,Vegetable
Carrot,57.12,2024-02-27,Vegetable
Cabbage,55.85,2024-02-27,Vegetable
Apple,114.21,2024-02-27,Fruit
Banana,89.39,2024-02-27,Fruit
Orange,111.61,2024-02-27,Fruit
Mango,66.87,2024-02-27,Fruit
Grapes,70.54,2024-02-27,Fruit
Tomato,36.7,2024-02-28,Vegetable
Potato,34.9,2024-02-28,Vegetable
Onion,58.74,2024-02-28,Vegetable
Carrot,50.44,2024-02-28,Vegetable
Cabbage,52.6,2024-02-28,Vegetable
Apple,83.65,2024-02-28,Fruit
Banana,84.03,2024-02-28,Fruit
Orange,92.22,2024-02-28,Fruit
Mango,50.11,2024-02-28,Fruit
Grapes,86.6,2024-02-28,Fruit
Tomato,27.64,2024-02-29,Vegetable
Potato,22.29,2024-02-29,Vegetable
Onion,44.36,2024-02-29,Vegetable
Carrot,44.85,2024-02-29,Vegetable
Cabbage,51.77,2024-02-29,Vegetable
Apple,105.32,2024-02-29,Fruit
Banana,100.18,2024-02-29,Fruit
Orange,105.31,2024-02-29,Fruit
Mango,101.1,2024-02-29,Fruit
Grapes,105.77,2024-02-29,Fruit
Tomato,55.36,2024-03-01,Vegetable
Potato,21.98,2024-03-01,Vegetable
Onion,41.66,2024-03-01,Vegetable
Carrot,33.35,2024-03-01,Vegetable
Cabbage,43.11,2024-03-01,Vegetable
Apple,87.28,2024-03-01,Fruit
Banana,74.32,2024-03-01,Fruit
Orange,52.47,2024-03-01,Fruit
Mango,110.79,2024-03-01,Fruit
Grapes,118.94,2024-03-01,Fruit
Tomato,51.74,2024-03-02,Vegetable
Potato,23.33,2024-03-02,Vegetable
Onion,57.42,2024-03-02,Vegetable
Carrot,40.25,2024-03-02,Vegetable
Cabbage,27.74,2024-03-02,Vegetable
Apple,47.5,2024-03-02,Fruit
Banana,59.55,2024-03-02,Fruit
Orange,88.41,2024-03-02,Fruit
Mango,66.96,2024-03-02,Fruit
Grapes,41.7,2024-03-02,Fruit
Tomato,31.33,2024-03-03,Vegetable
Potato,35.54,2024-03-03,Vegetable
Onion,29.29,2024-03-03,Vegetable
Carrot,53.25,2024-03-03,Vegetable
Cabbage,42.74,2024-03-03,Vegetable
Apple,114.01,2024-03-03,Fruit
Banana,78.06,2024-03-03,Fruit
Orange,57.25,2024-03-03,Fruit
Mango,55.68,2024-03-03,Fruit
Grapes,93.54,2024-03-03,Fruit
Tomato,21.14,2024-03-04,Vegetable
Potato,41.54,2024-03-04,Vegetable
Onion,58.75,2024-03-04,Vegetable
Carrot,35.43,2024-03-04,Vegetable
Cabbage,20.68,2024-03-04,Vegetable
Apple,40.92,2024-03-04,Fruit
Banana,105.43,2024-03-04,Fruit
Orange,79.18,2024-03-04,Fruit
Mango,74.23,2024-03-04,Fruit
Grapes,98.64,2024-03-04,Fruit
Tomato,25.47,2024-03-05,Vegetable
Potato,20.45,2024-03-05,Vegetable
Onion,59.85,2024-03-05,Vegetable
Carrot,40.89,2024-03-05,Vegetable
Cabbage,45.92,2024-03-05,Vegetable
Apple,111.74,2024-03-05,Fruit
Banana,64.6,2024-03-05,Fruit
Orange,97.48,2024-03-05,Fruit
Mango,58.54,2024-03-05,Fruit
Grapes,61.14,2024-03-05,Fruit
Tomato,28.72,2024-03-06,Vegetable
Potato,31.59,2024-03-06,Vegetable
Onion,31.15,2024-03-06,Vegetable
Carrot,57.13,2024-03-06,Vegetable
Cabbage,37.43,2024-03-06,Vegetable
Apple,46.46,2024-03-06,Fruit
Banana,84.88,2024-03-06,Fruit
Orange,62.1,2024-03-06,Fruit
Mango,47.6,2024-03-06,Fruit
Grapes,95.15,2024-03-06,Fruit
Tomato,54.14,2024-03-07,Vegetable
Potato,47.72,2024-03-07,Vegetable
Onion,21.89,2024-03-07,Vegetable
Carrot,58.22,2024-03-07,Vegetable
Cabbage,58.11,2024-03-07,Vegetable
Apple,51.74,2024-03-07,Fruit
